Zip,Total,White,Black,Asian,Biracial,Other,state_name,Male,Female,Age,Home Price,Houses,Household Income
65742,13295,12818,18,174,169,116,Missouri,6664,6631,39.7,171700.0,4909.0,77928.0
65746,8652,8346,59,9,62,176,Missouri,4364,4288,29.0,123500.0,2590.0,50624.0
65752,352,350,0,0,2,0,Missouri,194,158,60.1,78500.0,188.0,46704.0
65772,1762,1723,20,0,12,7,Missouri,870,892,34.9,108400.0,704.0,48268.0
65810,22744,20017,814,916,432,565,Missouri,10956,11788,42.7,202800.0,9281.0,88746.0
65276,1541,1513,17,0,11,0,Missouri,754,787,43.8,121500.0,595.0,55316.0
65279,1769,1748,17,2,2,0,Missouri,842,927,50.3,228100.0,729.0,110230.0
65284,2004,1971,8,0,11,14,Missouri,1016,988,48.1,152600.0,858.0,77660.0
65285,685,664,0,0,0,21,Missouri,356,329,51.1,159600.0,222.0,97383.0
65286,138,138,0,0,0,0,Missouri,54,84,58.5,75600.0,44.0,49420.0
65305,4029,3178,392,86,290,83,Missouri,2458,1571,21.9,,890.0,56766.0
65325,3437,3422,0,1,14,0,Missouri,1692,1745,44.9,118700.0,1309.0,55929.0
65327,226,218,0,0,8,0,Missouri,119,107,51.5,95000.0,87.0,58413.0
65329,427,424,0,0,3,0,Missouri,230,197,52.0,137500.0,156.0,89271.0
65335,142,142,0,0,0,0,Missouri,63,79,49.5,67500.0,64.0,54186.0
65338,2744,2648,6,12,38,40,Missouri,1347,1397,48.5,100700.0,1152.0,48715.0
65351,2580,2519,22,5,28,6,Missouri,1354,1226,44.9,95900.0,961.0,57560.0
65349,2539,2208,113,12,199,7,Missouri,1267,1272,41.0,67700.0,1081.0,47874.0
65350,2271,2130,15,6,117,3,Missouri,1153,1118,37.3,150400.0,757.0,57744.0
65802,46888,41713,1856,426,1675,1218,Missouri,22829,24059,32.3,105600.0,18918.0,49350.0
